2025-07-28	16:02:29	5dda678e-8a42-4a7f-93ce-fc6c00c9d17a	/new-page.html	GET
2025-07-28	16:02:29	8f379bad-fe70-4a49-a548-2f953e757f0c	/css/style.css	GET
2025-07-28	16:02:29	01b84f93-2f50-4fde-90f2-367e4ff7e632	/img/img1.jpg	GET
2025-07-28	16:02:38	2cd85b5c-1568-4167-9b50-325517800dc7	/new-page.html	GET
2025-07-28	16:02:38	56871fb2-3334-4e0b-9378-ef36a51a67fc	/css/style.css	GET
2025-07-28	16:02:38	a425790d-45d8-437b-a560-8bdec901305b	/img/img1.jpg	GET
2025-07-28	16:02:51	0260bf4e-8c9b-430f-8906-4db542d94356	/new-page.html	GET
2025-07-28	16:03:06	1ed3ace0-5e43-487e-8493-7fefddfb25f9	/new-page.html	GET
2025-07-28	16:03:06	7b92e817-b9d5-4860-86ea-1f72a4ffd864	/css/style.css	GET
2025-07-28	16:03:06	72375628-d76e-4711-bbbb-53cfc3e77563	/img/img1.jpg	GET
2025-08-01	13:45:09	62fca692-33e5-420b-ac80-74cf6685af0e	GET	undefined	/
2025-08-01	13:45:09	6c270028-ca48-489a-8175-2d8006733093	GET	undefined	/css/style.css
2025-08-01	13:48:15	e56b997a-d62b-4fad-be7c-37d3a5d19dd3	GET	undefined	/
2025-08-01	13:48:15	0e6085b6-8a14-4308-bbf1-70a2c56f57e4	GET	undefined	/css/style.css
2025-08-01	13:51:50	171b7221-7b76-4018-919b-6439bec192af	GET	chrome-untrusted://new-tab-page	/
2025-08-01	14:01:30	a4cf04fb-c416-40cd-942a-b7fdce664229	GET	undefined	/
2025-08-01	14:02:12	f0b81441-f436-46a9-b2e1-a48c5a7ca8ec	GET	undefined	/
2025-08-01	14:02:12	183e14cf-a78b-41c7-80f5-f55f82aac815	GET	undefined	/css/style.css
2025-08-01	14:03:02	3957dafa-f609-4327-b12b-90f144ec2def	GET	undefined	/
2025-08-01	14:07:18	1de212d5-4f8a-403b-9f2c-10739cab5889	GET	undefined	/
2025-08-01	14:07:18	c923f396-5b77-4f3a-adfe-2f673e659eae	GET	undefined	/css/style.css
